dgv_organization_id,dgv_organization_name,geop_organization_id,geop_organization_name,geoc_organization_name,geoc_organization_uuid,geoc_organization_url
558ea45bc751df2d9aa4541d,Direction Départementale des Territoires et de la Mer du Calvados,558ea45bc751df2d9aa4541d,DDTM Calvados,DDTM 14 (Direction Départementale des Territoires et de la Mer du Calvados),3c2256d4118111449d29fc3f67894078,http://www.geocatalogue.fr/www/dcat/3c2256d4118111449d29fc3f67894078/catalog.rdf
558ea37cc751df2a26a453fe,Direction Départementale des Territoires et de la Mer des Pyrénées-Atlantiques,558ea37cc751df2a26a453fe,DDTM Pyrénées-Atlantiques,DDTM 64 (Direction Départementale des Territoires et de la Mer des Pyrénées-Atlantiques),2fe004c7039303f11fe9cf2df7803898,http://www.geocatalogue.fr/www/dcat/2fe004c7039303f11fe9cf2df7803898/catalog.rdf
558ea2d6c751df3646a453cf,Direction Départementale des Territoires et de la Mer des Landes,558ea2d6c751df3646a453cf,DDTM Landes,DDTM 40 (Direction Départementale des Territoires et de la Mer des Landes),6538cb5892af5feaa1d222d4ddc8ef98,http://www.geocatalogue.fr/www/dcat/6538cb5892af5feaa1d222d4ddc8ef98/catalog.rdf
558e9f93c751df2d9aa453d4,Direction Départementale des Territoires de Saône-et-Loire,558e9f93c751df2d9aa453d4,DDT Saône-et-Loire,,,
558e9e4ac751df2a26a453da,Direction Départementale des Territoires de la Sarthe,558e9e4ac751df2a26a453da,DDT Sarthe,DDT 72 (Direction Départementale des Territoires de la Sarthe),906721b516ac3bfd9c76c3f00d58df32,http://www.geocatalogue.fr/www/dcat/906721b516ac3bfd9c76c3f00d58df32/catalog.rdf
558e9d43c751df75fea453d1,Direction Départementale des Territoires de Loir-et-Cher,558e9d43c751df75fea453d1,DDT Loir-et-Cher,DDT 41 (Direction Départementale des Territoires du Loir-et-Cher),f26d4f376e45fa4edfc48e26183d5477,http://www.geocatalogue.fr/www/dcat/f26d4f376e45fa4edfc48e26183d5477/catalog.rdf
558e9c3ec751df75fea453c7,Direction Départementale des Territoires de la Marne,558e9c3ec751df75fea453c7,DDT Marne,DDT 51 (Direction Départementale des Territoires de la Marne),f7b88dfe256bb10c8b6afefd7d061485,http://www.geocatalogue.fr/www/dcat/f7b88dfe256bb10c8b6afefd7d061485/catalog.rdf
558e9b15c751df2a26a453b9,Direction Départementale des Territoires de l'Orne,558e9b15c751df2a26a453b9,DDT Orne,DDT 61 (Direction Départementale des Territoires de l'Orne),34aa471789ec97ce41db1edb75db4839,http://www.geocatalogue.fr/www/dcat/34aa471789ec97ce41db1edb75db4839/catalog.rdf
558dc1c0c751df341aa453b9,Direction Départementale des Territoires des Alpes de Haute-Provence,558dc1c0c751df341aa453b9,DDT Alpes-de-Haute-Provence,,,
558bf88dc751df2dc5a45424,DREAL Franche-Comté,558bf88dc751df2dc5a45424,DREAL Franche-Comté,,,
558bf578c751df2f9ea453ea,Direction Départementale des Territoires de l'Ariège,558bf578c751df2f9ea453ea,DDT Ariège,DDT 09 (Direction Départementale des Territoires de l'Ariège),663d6d4322cb84acba14c862f436a2d3,http://www.geocatalogue.fr/www/dcat/663d6d4322cb84acba14c862f436a2d3/catalog.rdf
558bef88c751df1fd9a453b9,DREAL Languedoc-Roussillon,558bef88c751df1fd9a453b9,DREAL Languedoc-Roussillon,,,
558bd745c751df3fffa453bd,Direction Départementale des Territoires et de la Mer de Charente-Maritime,558bd745c751df3fffa453bd,DDTM Charente-Maritime,DDTM 17 (Direction Départementale des Territoires et de la Mer de Charente-Maritime),09709b6b9005b48a294d0681fa19539d,http://www.geocatalogue.fr/www/dcat/09709b6b9005b48a294d0681fa19539d/catalog.rdf
558bc11cc751df5bfda453ba,Direction Départementale des Territoires de la Corrèze,558bc11cc751df5bfda453ba,DDT Corrèze,DDT 19 (Direction Départementale des Territoires de la Corrèze),112c39d3cd278516c51448080c5078e6,http://www.geocatalogue.fr/www/dcat/112c39d3cd278516c51448080c5078e6/catalog.rdf
558adf97c751df04a0a453df,Direction Départementale des Territoires de Lot-et-Garonne,558adf97c751df04a0a453df,DDT Lot-et-Garonne,DDT 47 (Direction Départementale des Territoires du Lot-et-Garonne),a0cb03ab246f3d566ab2659a5b6d718d,http://www.geocatalogue.fr/www/dcat/a0cb03ab246f3d566ab2659a5b6d718d/catalog.rdf
558adba9c751df04a0a453c1,Direction Départementale des Territoires de l'Essonne,558adba9c751df04a0a453c1,DDT Essonne,DDT 91 (Direction Départementale des Territoires de l'Essonne),e4307cde8f9592f954f16ddebcad97c3,http://www.geocatalogue.fr/www/dcat/e4307cde8f9592f954f16ddebcad97c3/catalog.rdf
558ad939c751df7c4fa453bc,Direction Départementale et des Territoires du Cantal,558ad939c751df7c4fa453bc,DDT Cantal,,,
558ad3e3c751df7c4fa453b9,Direction Départementale des Territoires et de la Mer du Var,558ad3e3c751df7c4fa453b9,DDTM Var,DDTM 83 (Direction Départementale des Territoires et de la Mer du Var),2c0000ffcff9ff240b48d7c9c4440651,http://www.geocatalogue.fr/www/dcat/2c0000ffcff9ff240b48d7c9c4440651/catalog.rdf
558a83dac751df039da453b9,Direction Départementale des Territoires et de la Mer de la Somme,558a83dac751df039da453b9,DDTM Somme,DDTM 80 (Direction Départementale des Territoires et de la Mer de la Somme),67041662b73a0b692a23910c74aac495,http://www.geocatalogue.fr/www/dcat/67041662b73a0b692a23910c74aac495/catalog.rdf
558a8198c751df760ba453c5,DREAL Lorraine,558a8198c751df760ba453c5,DREAL Lorraine,,,
558a7f99c751df760ba453bf,Direction Départementale des Territoires du Val d'Oise,558a7f99c751df760ba453bf,DDT Val-d'Oise,,,
558a7e80c751df627ca453b9,Direction Départementale des Territoires de la Lozère,558a7e80c751df627ca453b9,DDT Lozère,DDT 48 (Direction Départementale des Territoires de la Lozère),22600aa1119532a672679c2eb455473f,http://www.geocatalogue.fr/www/dcat/22600aa1119532a672679c2eb455473f/catalog.rdf
55897427c751df54e9a453dd,Direction Départementale des Territoires d'Eure-et-Loir,55897427c751df54e9a453dd,DDT Eure-et-Loir,DDT 28 (Direction Départementale des Territoires d'Eure-et-Loir),78ad7949146225d3c73c8226202c4b16,http://www.geocatalogue.fr/www/dcat/78ad7949146225d3c73c8226202c4b16/catalog.rdf
55896df6c751df54e9a453b9,Direction Départementale des Territoires de l'Aube,55896df6c751df54e9a453b9,DDT Aube,DDT 10 (Direction Départementale des Territoires de l'Aube),43c8738f47f1176877ddf82fe0af5008,http://www.geocatalogue.fr/www/dcat/43c8738f47f1176877ddf82fe0af5008/catalog.rdf
55887171c751df3f82a453c4,Direction Départementale des Territoires de Seine-et-Marne,55887171c751df3f82a453c4,DDT Seine-et-Marne,,,
55886e4dc751df3f7aa453b9,Direction Départementale des Territoires des Vosges,55886e4dc751df3f7aa453b9,DDT Vosges,DDT 88 (Direction Départementale des Territoires des Vosges),d66c7937e1e4f848aee5fb8e72e7883b,http://www.geocatalogue.fr/www/dcat/d66c7937e1e4f848aee5fb8e72e7883b/catalog.rdf
55883748c751df7971a453bc,Direction Départementale des Territoires de Meurthe-et-Moselle,55883748c751df7971a453bc,DDT Meurthe-et-Moselle,,,
552cc6bec751df224637dddb,DatARA - Données publiques ouvertes en Auvergne-Rhône-Alpes,552cc6bec751df224637dddb,Conseil Départemental de Haute Savoie,,,
552cc6bec751df224637dddb,DatARA - Données publiques ouvertes en Auvergne-Rhône-Alpes,552cc6bec751df224637dddb,Conseil Général del'Isère,,,
552cc6bec751df224637dddb,DatARA - Données publiques ouvertes en Auvergne-Rhône-Alpes,552cc6bec751df224637dddb,Conseil départemental de la loire,Conseil Départemental de la Loire (CD 42),a7d4f901b54fe62694d8e25ec6a31e02,http://www.geocatalogue.fr/www/dcat/a7d4f901b54fe62694d8e25ec6a31e02/catalog.rdf
552cc6bec751df224637dddb,DatARA - Données publiques ouvertes en Auvergne-Rhône-Alpes,552cc6bec751df224637dddb,Conseil départemental du Rhône,Conseil Départemental du Rhône (CD 69),381cecf553b5b8ce39833840ef38dbfd,http://www.geocatalogue.fr/www/dcat/381cecf553b5b8ce39833840ef38dbfd/catalog.rdf
552cc6bec751df224637dddb,DatARA - Données publiques ouvertes en Auvergne-Rhône-Alpes,552cc6bec751df224637dddb,Direction Régionale de l'Alimentation de l'Agriculture et de la Forêt d'Auvergne-Rhône-Alpes (DRAAF Auvergne-Rhône-Alpes),Direction Régionale de l'Alimentation de l'Agriculture et de la Forêt d'Auvergne-Rhône-Alpes (DRAAF Auvergne-Rhône-Alpes),f81a9d654f3b34eebe04652247ff2fc4,http://www.geocatalogue.fr/www/dcat/f81a9d654f3b34eebe04652247ff2fc4/catalog.rdf
552cc6bec751df224637dddb,DatARA - Données publiques ouvertes en Auvergne-Rhône-Alpes,552cc6bec751df224637dddb,IRSTEA Grenoble,,,
552cc6bec751df224637dddb,DatARA - Données publiques ouvertes en Auvergne-Rhône-Alpes,552cc6bec751df224637dddb,LPO Rhône-Alpes,Ligue pour la Protection des Oiseaux de Rhône-Alpes (LPO Rhône-Alpes),cf3becfcaf2eda5190062cd95b48dbef,http://www.geocatalogue.fr/www/dcat/cf3becfcaf2eda5190062cd95b48dbef/catalog.rdf
552cc6bec751df224637dddb,DatARA - Données publiques ouvertes en Auvergne-Rhône-Alpes,552cc6bec751df224637dddb,ONEMA - Delegation Regionale Rhone-Alpes,,,
552cc6bec751df224637dddb,DatARA - Données publiques ouvertes en Auvergne-Rhône-Alpes,552cc6bec751df224637dddb,ONEMA - Délégation Régionale Rhône-Alpes,,,
552cc6bec751df224637dddb,DatARA - Données publiques ouvertes en Auvergne-Rhône-Alpes,552cc6bec751df224637dddb,Établissement Public Foncier de l'Ouest Rhône-Alpes (EPORA),Établissement Public Foncier de l'Ouest Rhône-Alpes (EPORA),9d801234632d75572a682afe1152c24b,http://www.geocatalogue.fr/www/dcat/9d801234632d75572a682afe1152c24b/catalog.rdf
