dgv_organization_id,dgv_organization_name,dgv_nb_datasets,geop_organization_id,geop_organization_name,geop_slug,dgv_slug,geoc_organization_name,geoc_organization_uuid,geoc_organization_url,geoc_slug
5be949a9634f415deb46af0e,Lig'Air,79.0,,,nan,lig air,Lig'Air,c79fc686561ac0f122e8fe81ad00c355,http://www.geocatalogue.fr/www/dcat/c79fc686561ac0f122e8fe81ad00c355/catalog.rdf,lig air
5bd07d888b4c415b3778c8cd,Dinan Agglomération,0.0,,,nan,dinan agglomeration,Dinan Agglomération,9e7ec13533104af120b2d27dd14dd58f,http://www.geocatalogue.fr/www/dcat/9e7ec13533104af120b2d27dd14dd58f/catalog.rdf,dinan agglomeration
5bd07c648b4c415aef4c3932,Dinan Agglomération,0.0,,,nan,dinan agglomeration,Dinan Agglomération,9e7ec13533104af120b2d27dd14dd58f,http://www.geocatalogue.fr/www/dcat/9e7ec13533104af120b2d27dd14dd58f/catalog.rdf,dinan agglomeration
5bc4921f8b4c416a683d003f,LAVAL Agglomération,1.0,,,nan,laval agglomeration,Laval Agglomération,1676f90b6586f76aca5845145fc66f22,http://www.geocatalogue.fr/www/dcat/1676f90b6586f76aca5845145fc66f22/catalog.rdf,laval agglomeration
5bbb27cc8b4c4150063834c1,Communauté de Communes du Golfe de Saint-Tropez,17.0,,,nan,communaute communes golfe saint-tropez,Communauté de Communes du Golfe de Saint-Tropez,4e3375473250f7a920a20e4fe43e3155,http://www.geocatalogue.fr/www/dcat/4e3375473250f7a920a20e4fe43e3155/catalog.rdf,communaute communes golfe saint-tropez
5bb4afe4634f415b10723272,Mairie de Venelles,1.0,,,nan,mairie venelles,Mairie de Venelles,9ecc5616b9b25c5c5a3fb9ef819a5b17,http://www.geocatalogue.fr/www/dcat/9ecc5616b9b25c5c5a3fb9ef819a5b17/catalog.rdf,mairie venelles
5b9fb3678b4c416ff2277bb5,AtmoSud,16.0,5b9fb3678b4c416ff2277bb5,AtmoSud,atmosud,atmosud,AtmoSud,886e00f1b312fa30bc2a58487087d645,http://www.geocatalogue.fr/www/dcat/886e00f1b312fa30bc2a58487087d645/catalog.rdf,atmosud
5b9a1371634f417f35dc4a7c,Mairie d'Aire-sur-Adour,1.0,5b9a1371634f417f35dc4a7c,Mairie de Aire-sur-Adour,mairie aire-sur-adour,mairie aire-sur-adour,Mairie de Aire-sur-Adour,ef1695c36defce9806388adb705c76a4,http://www.geocatalogue.fr/www/dcat/ef1695c36defce9806388adb705c76a4/catalog.rdf,mairie aire-sur-adour
5b9a00938b4c41453e8a406b,Communauté urbaine de Caen la mer,5.0,,,nan,communaute urbaine caen la mer,Communauté Urbaine de Caen la mer,c1bc800c37fb620738c26e90c59a5c59,http://www.geocatalogue.fr/www/dcat/c1bc800c37fb620738c26e90c59a5c59/catalog.rdf,communaute urbaine caen la mer
5b6c2e4b8b4c41287663df35,Communauté d'Agglomération Béziers Méditerranée,1.0,,,nan,communaute agglomeration beziers mediterranee,Communauté d'Agglomération Béziers Méditerranée,47c22402e5fe4dda7c2dcee459ae03a5,http://www.geocatalogue.fr/www/dcat/47c22402e5fe4dda7c2dcee459ae03a5/catalog.rdf,communaute agglomeration beziers mediterranee
5b4f5364c751df0bb1c28756,Territoires Numériques Bourgogne-Franche-Comté,3.0,,,nan,territoires numeriques bourgogne-franche-comte,Territoires Numériques Bourgogne-Franche-Comté,5e337ac8fa2602f9f7bd0abb07dfbf45,http://www.geocatalogue.fr/www/dcat/5e337ac8fa2602f9f7bd0abb07dfbf45/catalog.rdf,territoires numeriques bourgogne-franche-comte
5b28c206c751df0b1af55751,Sigena,0.0,,,nan,sigena,Sigena,631b991c0a0f1f8a5501462cf7ec042c,http://www.geocatalogue.fr/www/dcat/631b991c0a0f1f8a5501462cf7ec042c/catalog.rdf,sigena
5b18fb70c751df1da631a2da,Montfort Communauté,4.0,,,nan,montfort communaute,Montfort Communauté,1bd284e61a81dd94017c227589127c02,http://www.geocatalogue.fr/www/dcat/1bd284e61a81dd94017c227589127c02/catalog.rdf,montfort communaute
5b17e0a088ee387f8690a580,Communauté d'Agglomération Rochefort Océan,1.0,,,nan,communaute agglomeration rochefort ocean,Communauté d'Agglomération Rochefort Océan,e1535046afad7cdc313fc2bc5eb13825,http://www.geocatalogue.fr/www/dcat/e1535046afad7cdc313fc2bc5eb13825/catalog.rdf,communaute agglomeration rochefort ocean
5b0d11f688ee382af4b18c95,Bordeaux Métropole,188.0,,,nan,bordeaux metropole,Bordeaux Métropole,fbd2a7c688fdc3543f8d8692877f52e2,http://www.geocatalogue.fr/www/dcat/fbd2a7c688fdc3543f8d8692877f52e2/catalog.rdf,bordeaux metropole
5ae6b61b88ee382152cd61a9,Communauté d'agglomération de La Rochelle,36.0,,,nan,communaute agglomeration la rochelle,Communauté d'Agglomération de La Rochelle,6dd848c6e77797e581b71528648a420e,http://www.geocatalogue.fr/www/dcat/6dd848c6e77797e581b71528648a420e/catalog.rdf,communaute agglomeration la rochelle
5aabc0ecc751df25cba8382b,Communauté Urbaine du Grand Reims,3.0,,,nan,communaute urbaine grand reims,Communauté Urbaine du Grand Reims,abacb25bf12f74950580821a71e483c5,http://www.geocatalogue.fr/www/dcat/abacb25bf12f74950580821a71e483c5/catalog.rdf,communaute urbaine grand reims
5aaa29ac88ee386652b31c45,Communauté de Communes Terres des Confluences,0.0,,,nan,communaute communes terres confluences,Communauté de Communes Terres des Confluences,d0737b2557b91b6741ed2039671d912d,http://www.geocatalogue.fr/www/dcat/d0737b2557b91b6741ed2039671d912d/catalog.rdf,communaute communes terres confluences
5a3aca3888ee382cb72b1308,Mairie de Vesseaux,0.0,,,nan,mairie vesseaux,Mairie de Vesseaux,6cbde35591c65b07507a071c79726e5e,http://www.geocatalogue.fr/www/dcat/6cbde35591c65b07507a071c79726e5e/catalog.rdf,mairie vesseaux
5a3a7cd8c751df3092aea45a,Ville du Havre,61.0,,,nan,ville havre,Ville du Havre,a36df2c52c81f973a68c332e8b613fe3,http://www.geocatalogue.fr/www/dcat/a36df2c52c81f973a68c332e8b613fe3/catalog.rdf,ville havre
59f846d588ee380840aa2865,Communauté de Communes Coeur Côte Fleurie,49.0,,,nan,communaute communes coeur côte fleurie,Communauté de Communes Coeur Côte Fleurie,473ebaa62a52fe268ed6bd8263d257f7,http://www.geocatalogue.fr/www/dcat/473ebaa62a52fe268ed6bd8263d257f7/catalog.rdf,communaute communes coeur côte fleurie
59e71ccd88ee3808785cdd6b,Communauté de communes du Pays Bigouden Sud,2.0,,,nan,communaute communes pays bigouden sud,Communauté de Communes du Pays Bigouden Sud,77b270a0a363105c9f05493db60fc493,http://www.geocatalogue.fr/www/dcat/77b270a0a363105c9f05493db60fc493/catalog.rdf,communaute communes pays bigouden sud
59d2b2dc88ee3826a73899be,Eurométropole de Strasbourg,18.0,,,nan,eurometropole strasbourg,Eurométropole de Strasbourg,c7e30423f41e8d145c90e5844fc31a80,http://www.geocatalogue.fr/www/dcat/c7e30423f41e8d145c90e5844fc31a80/catalog.rdf,eurometropole strasbourg
595254f888ee384d9d265130,Lannion-Trégor Communauté,10.0,,,nan,lannion-tregor communaute,Lannion-Trégor Communauté,d712e6e3fee0c7c122f5c6d2e8c0c522,http://www.geocatalogue.fr/www/dcat/d712e6e3fee0c7c122f5c6d2e8c0c522/catalog.rdf,lannion-tregor communaute
594be11888ee38743d67051b,Ville de Nevers,16.0,,,nan,ville nevers,Ville de Nevers,946a2ea78432be7180496aef684e65c3,http://www.geocatalogue.fr/www/dcat/946a2ea78432be7180496aef684e65c3/catalog.rdf,ville nevers
58aeb568c751df7765b59c2c,Haut-Léon Communauté,0.0,,,nan,haut-leon communaute,Haut-Léon Communauté,c64dcd620af009737ee2871d02194ee9,http://www.geocatalogue.fr/www/dcat/c64dcd620af009737ee2871d02194ee9/catalog.rdf,haut-leon communaute
5847cb5cc751df5d58c0bb7e,Montpellier Méditerranée Métropole,6.0,,,nan,montpellier mediterranee metropole,Montpellier Méditerranée Métropole,d384f2a467ea1ba1017428a0576e62d9,http://www.geocatalogue.fr/www/dcat/d384f2a467ea1ba1017428a0576e62d9/catalog.rdf,montpellier mediterranee metropole
583d8ff888ee3841eac65bb3,Communauté d'Agglomération du Grand Verdun,0.0,,,nan,communaute agglomeration grand verdun,Communauté d'Agglomération du Grand Verdun,391e052d6eaeb2aad1bb354f71561056,http://www.geocatalogue.fr/www/dcat/391e052d6eaeb2aad1bb354f71561056/catalog.rdf,communaute agglomeration grand verdun
580fb83a88ee38771813e4cb,GéoGuyane,73.0,580fb83a88ee38771813e4cb,ALTOA,altoa,geoguyane,GéoGuyane,5dee39189afd2274b8c5a876b1351255,http://www.geocatalogue.fr/www/dcat/5dee39189afd2274b8c5a876b1351255/catalog.rdf,geoguyane
580fb83a88ee38771813e4cb,GéoGuyane,73.0,580fb83a88ee38771813e4cb,AUDeG,audeg,geoguyane,GéoGuyane,5dee39189afd2274b8c5a876b1351255,http://www.geocatalogue.fr/www/dcat/5dee39189afd2274b8c5a876b1351255/catalog.rdf,geoguyane
580fb83a88ee38771813e4cb,GéoGuyane,73.0,580fb83a88ee38771813e4cb,AUDeG - Agence d'Urbanisme et de Développement de la Guyane,audeg agence urbanisme et developpement la guyane,geoguyane,GéoGuyane,5dee39189afd2274b8c5a876b1351255,http://www.geocatalogue.fr/www/dcat/5dee39189afd2274b8c5a876b1351255/catalog.rdf,geoguyane
580fb83a88ee38771813e4cb,GéoGuyane,73.0,580fb83a88ee38771813e4cb,CEMAGREF / IRISTEA,cemagref / iristea,geoguyane,GéoGuyane,5dee39189afd2274b8c5a876b1351255,http://www.geocatalogue.fr/www/dcat/5dee39189afd2274b8c5a876b1351255/catalog.rdf,geoguyane
580fb83a88ee38771813e4cb,GéoGuyane,73.0,580fb83a88ee38771813e4cb,CEREMA / Direction Territoriale Méditerranée,cerema / direction territoriale mediterranee,geoguyane,GéoGuyane,5dee39189afd2274b8c5a876b1351255,http://www.geocatalogue.fr/www/dcat/5dee39189afd2274b8c5a876b1351255/catalog.rdf,geoguyane
580fb83a88ee38771813e4cb,GéoGuyane,73.0,580fb83a88ee38771813e4cb,DAC Guyane,dac guyane,geoguyane,GéoGuyane,5dee39189afd2274b8c5a876b1351255,http://www.geocatalogue.fr/www/dcat/5dee39189afd2274b8c5a876b1351255/catalog.rdf,geoguyane
57bee2fac751df7bb297bae5,Observatoire national des risques naturels,0.0,,,nan,observatoire national risques naturels,Observatoire National des Risques Naturels,a8ce64b6daa632022359789b7977ff39,http://www.geocatalogue.fr/www/dcat/a8ce64b6daa632022359789b7977ff39/catalog.rdf,observatoire national risques naturels
5732ff7788ee382b08d1b934,Grenoble-Alpes Métropole,21.0,,,nan,grenoble-alpes metropole,Grenoble-Alpes Métropole,862d8ff3b51af23d64285c43b1d9edcc,http://www.geocatalogue.fr/www/dcat/862d8ff3b51af23d64285c43b1d9edcc/catalog.rdf,grenoble-alpes metropole
5728b81488ee384691a19f12,Pays de Châteaugiron Communauté,5.0,5728b81488ee384691a19f12,DDTM35/METSSI (Direction Départementale des Territoires et de la Mer d'Ille-et-Vilaine/Mission de l'Expertise Territoriale et de la Stratégie du Système d'Information),ddtm35/metssi direction departementale territoires et la mer ille-et-vilaine/mission expertise territoriale et la strategie systeme information,pays châteaugiron communaute,Pays de Châteaugiron Communauté,930974390ca186d0389a01f745e1b668,http://www.geocatalogue.fr/www/dcat/930974390ca186d0389a01f745e1b668/catalog.rdf,pays châteaugiron communaute
5728b81488ee384691a19f12,Pays de Châteaugiron Communauté,5.0,5728b81488ee384691a19f12,DREAL Bretagne / service patrimoine naturel,dreal bretagne / service patrimoine naturel,pays châteaugiron communaute,Pays de Châteaugiron Communauté,930974390ca186d0389a01f745e1b668,http://www.geocatalogue.fr/www/dcat/930974390ca186d0389a01f745e1b668/catalog.rdf,pays châteaugiron communaute
56cb2297c751df566312e588,SOREGIES,2.0,,,nan,soregies,Sorégies,a6995c0bc4eaabbb98c937e13c603722,http://www.geocatalogue.fr/www/dcat/a6995c0bc4eaabbb98c937e13c603722/catalog.rdf,soregies
